,Tweet Id,Datetime,Username,Tweet Content,User Location,User Verified,Retweet Count,Reply Count,Like Count
0,1487884165383168007,2022-01-30 20:23:23+00:00,Muhammad5402,"@ABMPildat And accordingly to Income Tax laws, no case can be opened after 5 years of return filed 
Pls correct me if it is not correct",Karachi,False,0,1,1
1,1487880463872327680,2022-01-30 20:08:40+00:00,ANKITVE32044051,"Things are not important 
If It just expensive according
to your  Budget  thn ' it is ..... ' 💯","Jaipur, India",False,1,0,2
2,1487853886870278150,2022-01-30 18:23:04+00:00,backtoearth101,Inflation at peak! Petrol oil wheat flour prices at max! Import led country! Couldn't even make pulses here! Indirect indirect taxation while big cartels stacking money in real estates! Filers ratio 8! World stand at 30! Subsidy sari industry ameero ki! Gareboo par tax,Rahimyarkhan/Lahore,False,0,0,0
3,1487852557569564672,2022-01-30 18:17:47+00:00,backtoearth101,GDP growing at 5 percent? Is this the only parameter of thinking common man lives have improved? Bullshit capitalism is more complex than this! Same carporate sector making money with few big names! Cashing all the subsidy! This effect never reaches down,Rahimyarkhan/Lahore,False,1,2,9
4,1487849518590984192,2022-01-30 18:05:42+00:00,bhaveshkumar44,"Turkish President Recep Tayyip Erdogan has sacked the head of the state statistics agency, according to a decree published Saturday, after releasing data showing last year's #inflation rate hit a 19-year high of 36.1 percent
https://t.co/tYCnfYO0cu","Toronto, Canada",False,0,0,0
5,1487849375204261890,2022-01-30 18:05:08+00:00,backtoearth101,Slow down GDP buildup some reserves decreases CAD incentives industry rich get more rich trickle down remain same thn boom elections year pop in GDP start expanding put pressure on dollar CAD increases govt put taxes mostly indirect that effect more in poor rich remain unaffected https://t.co/ZkwupyYa2T,Rahimyarkhan/Lahore,False,1,0,3
6,1487844625700519938,2022-01-30 17:46:16+00:00,neerajthakur01,"@KirtanShahCFP The purpose of my last screen shot was not to show gold price of last decade but of last 7 decades. The screenshot of last decade shared by you proves my point of stability over volatility. Central Banks invest in gold not to hedge against inflation, but volatility.","New Delhi, India",False,0,0,1
7,1487842350684868610,2022-01-30 17:37:13+00:00,itsqfa,"100 left for 1k✅
Can it be done before budget??😉😉
@Bhai1Its @ArjunB9591 @guptadeepaksgnr","Lucknow, India",False,3,2,16
8,1487840565295456256,2022-01-30 17:30:08+00:00,neerajthakur01,"2011-2021
1.35% CAGR over average inflation of 2.2% in the US.
This was the decade when US printed $3 Trilion in a few months. If this is not stability than what is? https://t.co/jGYgVA1Qwj","New Delhi, India",False,0,1,1
9,1487838270742540297,2022-01-30 17:21:01+00:00,JahanzebHQ,"@Awakening1947 Look at the budget of Islamabad and Lahore, both far smaller in population and area still 3x more budget than Karachi.",K   A   R   A   C   H   I,False,0,0,0
10,1487835795348066304,2022-01-30 17:11:10+00:00,WealthInfluenc1,"How will Markets React on Budget Day, on 1st Feb 2022

#Budget2022 #nifty50 @kuttrapali26 @KommawarSwapnil @Puretechnicals9","Ahmadabad City, India",False,1,0,1
11,1487829414801211394,2022-01-30 16:45:49+00:00,amitabhnews18,"Budget Session 2022 @LokSabhaSectt
*will commence on Jan31 &amp; conclude on April8
*1st Part of #BudgetSession till Feb11  *break from 12Feb to 13March
*29 sittings – 10 in 1st &amp;19 in 2nd Part
* @rashtrapatibhvn address on Jan31 at 11am,Discussion on Motion of Thanks Feb 2,3,4&amp;7 Feb",Delhi,True,0,0,6
12,1487827819811860483,2022-01-30 16:39:29+00:00,challa_gk,@FinMinIndia Sir Only request is to make people of India to forget the difficulties faced for the last 7 years in this Indian Revenue/expenditure political paper budget.,,False,0,0,0
13,1487824304053968896,2022-01-30 16:25:31+00:00,rmbawa,What else is budget for ? 🤔 https://t.co/n1fKXzFw48,,False,1,0,3
14,1487823353776082944,2022-01-30 16:21:44+00:00,enochsam55,"Important win. 5 points. fabulous defense  .. let's go to top 6 and quality .
Finally I can sleep peacefully 
#tamilthalaivas #ProKabaddi https://t.co/HXSaiYHr0a","Barcelona, Spain",False,0,0,1
